file,verdict,likely_front,failure_cat,max_ring,any_feature_a,flange_hough,total_marks,max_marks_hole,best_circ,top8_circs,n_holes,ok_corners,low_circ_corners,gate_miss_corners,hough_miss_corners,oof_corners
20260906_094755_CAM#000001_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,10,0,0,0,39,1
20260906_094758_CAM#000002_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,10,0,0,1,38,1
20260906_094822_CAM#000003_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,3,0,0,0,12,0
20260906_094831_CAM#000005_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,5,0,0,2,18,0
20260906_094832_CAM#000006_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,9,0,0,1,33,2
20260906_094839_CAM#000008_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,5,0,0,3,17,0
20260906_094854_CAM#000010_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,5,0,0,2,18,0
20260906_094855_CAM#000011_NG_NO_FEATURE.jpg,OK,YES,-,3,True,Y,9,2,0.881,0.88|0.88|0.87|0.87|0.87|0.87|0.86|0.83,8,9,0,2,20,1
20260906_094856_CAM#000013_NG_NO_FEATURE.jpg,NG_NO_FEATURE,NO,-,1,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,4,0,0,2,13,1
20260906_094858_CAM#000014_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,9,0,0,2,33,1
20260906_094912_CAM#000017_NG_NO_FEATURE.jpg,OK,YES,-,3,True,Y,3,2,0.874,0.87|0.87|0.85|0.00|0.00|0.00|0.00|0.00,11,3,0,5,34,2
20260906_094913_CAM#000018_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,1,1,0.863,0.86|0.00|0.00|0.00|0.00|0.00|0.00|0.00,10,1,0,5,33,1
20260906_094914_CAM#000019_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,2,1,0.863,0.86|0.84|0.00|0.00|0.00|0.00|0.00|0.00,9,2,0,2,31,1
20260906_094915_CAM#000020_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,2,1,0.879,0.88|0.86|0.00|0.00|0.00|0.00|0.00|0.00,11,2,0,8,31,3
20260906_094916_CAM#000021_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,3,0,0,0,11,1
