image,truth,verdict,reason,elapsed_ms,locate,pitch_r,hole_r,n_holes,n_checked,hole_index,hole_cx,hole_cy,contrast,ring_count,ring_radii,flange_r,feature_a,corner_angle,corner_cx,corner_cy,in_frame,stage,hough_n,mark_r_ratio,circ,ok,sweep_q,sweep_pol,sweep_pass,sweep_combo,circ_curve,hole_valid_marks,corners_in_frame,feature_b,hole_passed
D:\zq\result\NG\20260906_094755_CAM#000001_NG_NO_FEATURE.jpg,back,NG_NO_FEATURE,所有受检孔均无有效翻边/压痕特征(反面或漏冲),193.4,pitch_fit(n=7),309.4,38.59,10,10,4,903.09,418.17,151.4,2,0.873|1.127,1.13,1,-131.0,861.48,373.61,1,hough_miss,0,,0.0,0,,,,,,0,4,0,0
D:\zq\result\NG\20260906_094755_CAM#000001_NG_NO_FEATURE.jpg,back,NG_NO_FEATURE,所有受检孔均无有效翻边/压痕特征(反面或漏冲),193.4,pitch_fit(n=7),309.4,38.59,10,10,4,903.09,418.17,151.4,2,0.873|1.127,1.13,1,-59.5,936.01,357.44,1,hough_miss,0,,0.0,0,,,,,,0,4,0,0
D:\zq\result\NG\20260906_094755_CAM#000001_NG_NO_FEATURE.jpg,back,NG_NO_FEATURE,所有受检孔均无有效翻边/压痕特征(反面或漏冲),193.4,pitch_fit(n=7),309.4,38.59,10,10,4,903.09,418.17,151.4,2,0.873|1.127,1.13,1,60.0,939.74,476.72,1,hough_miss,0,,0.0,0,,,,,,0,4,0,0
D:\zq\result\NG\20260906_094755_CAM#000001_NG_NO_FEATURE.jpg,back,NG_NO_FEATURE,所有受检孔均无有效翻边/压痕特征(反面或漏冲),193.4,pitch_fit(n=7),309.4,38.59,10,10,4,903.09,418.17,151.4,2,0.873|1.127,1.13,1,131.0,864.76,465.58,1,hough_miss,0,,0.0,0,,,,,,0,4,0,0
D:\zq\result\NG\20260906_094755_CAM#000001_NG_NO_FEATURE.jpg,back,NG_NO_FEATURE,所有受检孔均无有效翻边/压痕特征(反面或漏冲),193.4,pitch_fit(n=7),309.4,38.59,10,10,8,840.76,617.58,127.4,2,1.089|1.295,1.13,1,-131.0,836.74,556.75,1,hough_miss,0,,0.0,0,,,,,,0,4,0,0
D:\zq\result\NG\20260906_094755_CAM#000001_NG_NO_FEATURE.jpg,back,NG_NO_FEATURE,所有受检孔均无有效翻边/压痕特征(反面或漏冲),193.4,pitch_fit(n=7),309.4,38.59,10,10,8,840.76,617.58,127.4,2,1.089|1.295,1.13,1,-59.5,904.68,591.39,1,hough_miss,0,,0.0,0,,,,,,0,4,0,0
D:\zq\result\NG\20260906_094755_CAM#000001_NG_NO_FEATURE.jpg,back,NG_NO_FEATURE,所有受检孔均无有效翻边/压痕特征(反面或漏冲),193.4,pitch_fit(n=7),309.4,38.59,10,10,8,840.76,617.58,127.4,2,1.089|1.295,1.13,1,60.0,832.09,686.11,1,hough_miss,0,,0.0,0,,,,,,0,4,0,0
D:\zq\result\NG\20260906_094755_CAM#000001_NG_NO_FEATURE.jpg,back,NG_NO_FEATURE,所有受检孔均无有效翻边/压痕特征(反面或漏冲),193.4,pitch_fit(n=7),309.4,38.59,10,10,8,840.76,617.58,127.4,2,1.089|1.295,1.13,1,131.0,781.08,630.04,1,hough_miss,0,,0.0,0,,,,,,0,4,0,0
D:\zq\result\NG\20260906_094755_CAM#000001_NG_NO_FEATURE.jpg,back,NG_NO_FEATURE,所有受检孔均无有效翻边/压痕特征(反面或漏冲),193.4,pitch_fit(n=7),309.4,38.59,10,10,1,878.18,311.05,79.3,1,1.131,1.13,1,-131.0,823.62,283.84,1,hough_miss,0,,0.0,0,,,,,,0,4,0,0
D:\zq\result\NG\20260906_094755_CAM#000001_NG_NO_FEATURE.jpg,back,NG_NO_FEATURE,所有受检孔均无有效翻边/压痕特征(反面或漏冲),193.4,pitch_fit(n=7),309.4,38.59,10,10,1,878.18,311.05,79.3,1,1.131,1.13,1,-59.5,887.8,242.65,1,hough_miss,0,,0.0,0,,,,,,0,4,0,0
